team	rank	games_total	games_win	games_loss	games_tie	games_goal_ratio
Ethiopia	141.5	11	4	4	3	4
Cape Verde	74.75	9	5	2	2	3
Cameroon	53.75	10	6	2	2	8
Burkina Faso	59.5	10	4	2	4	7
Malawi	117.0	14	3	9	2	-17
Senegal	21.5	16	10	1	5	17
Zimbabwe	108.25	12	1	7	4	-9
Guinea	72.0	12	3	4	5	-6
Morocco	33.75	14	12	0	2	31
Ghana	49.75	10	5	2	3	5
Gabon	87.5	8	3	4	1	0
Comoros	130.75	6	3	2	1	1
Nigeria	33.0	11	6	3	2	5
Egypt	46.75	15	9	2	4	18
Sudan	124.0	15	4	8	3	-11
Guinea-Bissau	110.75	8	3	2	3	-1
Algeria	32.5	18	13	0	5	45
Sierra Leone	114.5	5	1	1	3	-1
Equatorial Guinea	132.5	8	4	2	2	1
Ivory Coast	59.5	10	7	1	2	13
Gambia	153.25	8	4	4	0	0
Mauritania	101.0	14	4	7	3	-12
Tunisia	26.0	17	12	4	1	16
Mali	56.25	11	6	3	2	11
